"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-5-17","5,491.89","5,423.80","5,492.84","5,409.70","126.92K","1.24%"
"2024-5-16","5,424.67","5,443.44","5,475.37","5,408.13","122.11K","-0.40%"
"2024-5-15","5,446.66","5,499.61","5,499.61","5,441.35","110.13K","-0.98%"
"2024-5-14","5,500.74","5,508.47","5,538.74","5,484.96","118.99K","-0.08%"
"2024-5-13","5,505.26","5,535.40","5,535.40","5,462.51","131.63K","-0.54%"
"2024-5-10","5,535.40","5,562.19","5,570.57","5,497.50","128.69K","-0.38%"
"2024-5-9","5,556.77","5,461.36","5,568.73","5,461.36","131.12K","1.80%"
"2024-5-8","5,458.76","5,516.45","5,516.45","5,454.87","123.96K","-1.24%"
"2024-5-7","5,527.08","5,528.60","5,543.13","5,507.50","136.54K","-0.10%"
"2024-5-6","5,532.61","5,441.14","5,535.73","5,441.14","156.90K","1.68%"
"2024-4-30","5,441.14","5,471.17","5,478.04","5,436.58","162.80K","-0.68%"
"2024-4-29","5,478.49","5,371.21","5,488.28","5,371.21","190.94K","1.98%"
"2024-4-26","5,372.12","5,258.38","5,379.67","5,258.38","173.78K","2.14%"
"2024-4-25","5,259.34","5,240.48","5,297.16","5,229.82","110.83K","-0.07%"
"2024-4-24","5,263.04","5,210.18","5,263.04","5,183.70","117.30K","1.05%"
"2024-4-23","5,208.27","5,257.77","5,280.06","5,196.96","125.80K","-1.13%"
"2024-4-22","5,267.58","5,289.41","5,340.63","5,264.19","135.27K","-0.89%"
"2024-4-19","5,314.87","5,322.36","5,369.95","5,292.02","142.13K","-0.65%"
"2024-4-18","5,349.84","5,317.80","5,410.70","5,299.23","153.50K","0.19%"
"2024-4-17","5,339.75","5,211.25","5,339.75","5,211.25","147.60K","2.85%"
"2024-4-16","5,191.55","5,309.10","5,346.76","5,184.65","162.58K","-2.77%"
"2024-4-15","5,339.72","5,270.04","5,376.05","5,219.43","159.22K","1.18%"
"2024-4-12","5,277.22","5,307.72","5,336.45","5,270.46","118.53K","-0.46%"
"2024-4-11","5,301.81","5,244.05","5,353.81","5,240.51","127.75K","0.50%"
"2024-4-10","5,275.47","5,335.73","5,335.73","5,242.86","117.91K","-1.26%"
"2024-4-9","5,342.90","5,294.47","5,342.90","5,284.96","113.30K","0.84%"
"2024-4-8","5,298.59","5,358.96","5,383.66","5,297.56","148.59K","-1.41%"
"2024-4-3","5,374.60","5,373.50","5,386.34","5,350.16","133.63K","-0.12%"
"2024-4-2","5,381.23","5,395.48","5,402.16","5,353.31","132.15K","-0.37%"
"2024-4-1","5,401.23","5,309.83","5,401.78","5,309.83","136.74K","2.18%"
"2024-3-29","5,286.16","5,220.55","5,287.04","5,211.19","109.05K","1.19%"
"2024-3-28","5,223.81","5,156.48","5,276.64","5,156.48","116.32K","1.30%"
"2024-3-27","5,156.68","5,280.73","5,282.70","5,156.68","110.11K","-2.42%"
"2024-3-26","5,284.42","5,291.52","5,318.88","5,237.90","116.47K","-0.20%"
"2024-3-25","5,294.75","5,369.78","5,401.60","5,292.64","130.78K","-1.67%"
"2024-3-22","5,384.57","5,454.41","5,463.54","5,356.11","137.10K","-1.49%"
"2024-3-21","5,465.83","5,505.70","5,517.46","5,454.23","129.49K","-0.50%"
"2024-3-20","5,493.41","5,469.61","5,499.24","5,455.76","126.27K","0.28%"
"2024-3-19","5,478.22","5,514.55","5,533.64","5,477.12","146.78K","-0.91%"
"2024-3-18","5,528.45","5,472.31","5,528.45","5,459.55","159.86K","1.36%"
"2024-3-15","5,454.15","5,380.02","5,456.73","5,357.18","136.41K","1.14%"
"2024-3-14","5,392.93","5,415.15","5,447.54","5,352.12","131.89K","-0.41%"
