Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg",Delta,IV,Type,"Last Trade"
"5,805.00",+4.07%,292.60,293.65,294.70,304.93,unch,unch,0,40,unch,0.84563,15.08%,Call,12/03/24
"5,810.00",+3.98%,288.10,289.15,290.20,341.79,unch,unch,0,114,unch,0.84237,15.00%,Call,12/05/24
"5,815.00",+3.90%,283.60,284.60,285.60,294.90,unch,unch,0,11,unch,0.83924,14.90%,Call,11/29/24
"5,820.00",+3.82%,279.10,280.10,281.10,248.80,unch,unch,0,156,unch,0.83591,14.82%,Call,11/22/24
"5,825.00",+3.74%,274.60,275.60,276.60,314.70,unch,unch,0,"1,695",unch,0.83254,14.73%,Call,12/11/24
"5,830.00",+3.65%,270.10,271.10,272.10,186.18,unch,unch,0,211,unch,0.82912,14.64%,Call,11/15/24
"5,835.00",+3.57%,265.60,266.60,267.60,267.20,unch,unch,0,107,unch,0.82567,14.55%,Call,11/29/24
"5,840.00",+3.49%,261.10,262.15,263.20,289.70,unch,unch,0,142,unch,0.82201,14.46%,Call,12/09/24
"5,845.00",+3.41%,256.70,257.70,258.70,279.50,unch,unch,0,27,unch,0.81830,14.37%,Call,12/09/24
"5,850.00",+3.32%,252.20,253.25,254.30,257.98,-18.02,-6.53%,57,"5,648",unch,0.81454,14.28%,Call,12/13/24
"5,855.00",+3.24%,247.80,248.80,249.80,293.10,unch,unch,0,62,unch,0.81074,14.19%,Call,12/06/24
"5,860.00",+3.16%,243.40,244.40,245.40,248.90,unch,unch,5,175,unch,0.80673,14.11%,Call,12/13/24
"5,865.00",+3.08%,239.00,240.00,241.00,253.40,unch,unch,0,27,unch,0.80267,14.02%,Call,12/03/24
"5,870.00",+2.99%,234.60,235.60,236.60,259.10,unch,unch,0,90,unch,0.79856,13.92%,Call,12/09/24
"5,875.00",+2.91%,230.20,231.20,232.20,235.36,-4.56,-1.90%,25,"1,632",+19,0.79439,13.83%,Call,12/13/24
"5,880.00",+2.83%,225.90,226.90,227.90,277.70,unch,unch,0,111,unch,0.78987,13.75%,Call,12/05/24
"5,885.00",+2.74%,221.50,222.50,223.50,205.80,unch,unch,0,108,unch,0.78558,13.65%,Call,11/25/24
"5,890.00",+2.66%,217.20,218.20,219.20,270.00,unch,unch,0,218,unch,0.78094,13.56%,Call,12/06/24
"5,895.00",+2.58%,212.90,213.90,214.90,216.90,unch,unch,10,301,unch,0.77624,13.48%,Call,12/13/24
"5,900.00",+2.50%,208.60,209.60,210.60,214.95,-14.54,-6.34%,23,"13,833",-21,0.77148,13.38%,Call,12/13/24
"5,905.00",+2.41%,204.40,205.35,206.30,172.60,unch,unch,0,97,unch,0.76651,13.30%,Call,11/21/24
"5,910.00",+2.33%,200.10,201.10,202.10,197.78,unch,unch,0,232,unch,0.76148,13.21%,Call,12/10/24
"5,915.00",+2.25%,195.90,196.90,197.90,184.92,unch,unch,0,215,unch,0.75624,13.12%,Call,11/27/24
"5,920.00",+2.17%,191.70,192.65,193.60,215.59,unch,unch,0,257,unch,0.75107,13.03%,Call,12/09/24
"5,925.00",+2.08%,187.40,188.40,189.40,193.18,-12.11,-5.90%,49,"1,016",+26,0.74582,12.93%,Call,12/13/24
"5,930.00",+2.00%,183.30,184.30,185.30,185.98,unch,unch,0,117,unch,0.74010,12.85%,Call,12/10/24
"5,935.00",+1.92%,179.10,180.10,181.10,189.30,unch,unch,50,193,unch,0.73456,12.75%,Call,12/13/24
"5,940.00",+1.84%,175.00,176.00,177.00,188.55,unch,unch,0,420,unch,0.72869,12.67%,Call,12/10/24
"5,945.00",+1.75%,170.90,171.90,172.90,195.90,unch,unch,1,385,unch,0.72274,12.58%,Call,12/13/24
"5,950.00",+1.67%,166.80,167.80,168.80,183.19,+10.29,+5.95%,15,"8,076",-2,0.71670,12.48%,Call,12/13/24
"5,955.00",+1.59%,162.80,163.75,164.70,202.56,unch,unch,0,61,unch,0.71046,12.39%,Call,12/05/24
"5,960.00",+1.51%,158.80,159.75,160.70,191.30,unch,unch,0,250,unch,0.70401,12.31%,Call,12/11/24
"5,965.00",+1.42%,154.80,155.75,156.70,200.50,unch,unch,0,237,unch,0.69747,12.22%,Call,12/04/24
"5,970.00",+1.34%,150.80,151.80,152.80,151.65,-3.35,-2.16%,57,168,unch,0.69104,12.11%,Call,12/13/24
"5,975.00",+1.26%,146.90,147.85,148.80,149.93,-23.07,-13.34%,11,"2,004",unch,0.68390,12.04%,Call,12/13/24
"5,980.00",+1.17%,142.90,143.90,144.90,146.33,+0.95,+0.65%,2,706,unch,0.67696,11.95%,Call,12/13/24
"5,985.00",+1.09%,139.10,140.05,141.00,144.86,+1.60,+1.12%,24,147,unch,0.66971,11.86%,Call,12/13/24
"5,990.00",+1.01%,135.20,136.20,137.20,140.07,+0.62,+0.44%,161,232,unch,0.66237,11.77%,Call,12/13/24
"5,995.00",+0.93%,131.40,132.40,133.40,146.80,unch,unch,0,142,unch,0.65482,11.69%,Call,12/09/24
"6,000.00",+0.84%,127.70,128.65,129.60,131.90,-9.00,-6.39%,"2,537","42,361",-47,0.64708,11.60%,Call,12/13/24
"6,005.00",+0.76%,123.90,124.90,125.90,128.31,+0.15,+0.12%,96,176,unch,0.63923,11.51%,Call,12/13/24
"6,010.00",+0.68%,120.30,121.25,122.20,123.47,-10.37,-7.75%,25,747,unch,0.63111,11.43%,Call,12/13/24
"6,015.00",+0.60%,116.60,117.60,118.60,137.55,unch,unch,0,87,+2,0.62286,11.35%,Call,12/12/24
"6,020.00",+0.51%,113.00,113.95,114.90,116.60,+3.70,+3.28%,31,523,unch,0.61450,11.26%,Call,12/13/24
"6,025.00",+0.43%,109.70,110.50,111.30,111.17,-5.27,-4.53%,30,"2,185",-28,0.60501,11.28%,Call,12/13/24
"6,030.00",+0.35%,106.00,106.95,107.90,109.81,-18.59,-14.48%,6,493,+16,0.59702,11.10%,Call,12/13/24
"6,035.00",+0.27%,102.60,103.50,104.40,102.40,-20.37,-16.59%,18,297,+1,0.58805,11.02%,Call,12/13/24
"6,040.00",+0.18%,99.10,100.05,101.00,104.10,-15.52,-12.97%,9,641,+1,0.57894,10.94%,Call,12/13/24
"6,045.00",+0.10%,96.00,96.75,97.50,95.00,-9.41,-9.01%,25,378,+20,0.56958,10.87%,Call,12/13/24
"6,050.00",+0.02%,92.70,93.45,94.20,93.70,-6.80,-6.77%,"9,416","15,932","+3,510",0.55994,10.83%,Call,12/13/24
"6,055.00",-0.06%,89.40,90.15,90.90,92.90,-16.07,-14.75%,91,"2,384",-9,0.55046,10.71%,Call,12/13/24
"6,060.00",-0.15%,86.20,86.95,87.70,89.60,-5.40,-5.68%,52,640,+30,0.54065,10.64%,Call,12/13/24
"6,065.00",-0.23%,82.90,83.80,84.70,90.40,-5.10,-5.34%,20,156,+12,0.53067,10.56%,Call,12/13/24
"6,070.00",-0.31%,80.00,80.75,81.50,84.00,-7.64,-8.34%,221,"1,097",-12,0.52054,10.49%,Call,12/13/24
"6,075.00",-0.40%,76.90,77.70,78.50,80.70,-2.67,-3.20%,215,"2,516",+53,0.51027,10.42%,Call,12/13/24
"6,080.00",-0.48%,73.80,74.75,75.70,77.27,-8.23,-9.63%,11,804,+247,0.49987,10.35%,Call,12/13/24
"6,085.00",-0.56%,70.90,71.85,72.80,72.20,-7.47,-9.38%,20,564,+41,0.48944,10.33%,Call,12/13/24
"6,090.00",-0.64%,68.10,69.05,70.00,69.20,-13.38,-16.20%,30,270,-24,0.47877,10.24%,Call,12/13/24
"6,095.00",-0.73%,65.40,66.30,67.20,66.50,-14.10,-17.49%,6,143,+22,0.46808,10.19%,Call,12/13/24
"6,100.00",-0.81%,62.90,63.60,64.30,63.95,-4.75,-6.91%,"1,217","20,607",+339,0.45738,10.15%,Call,12/13/24
"6,105.00",-0.89%,60.30,61.00,61.70,62.70,-11.30,-15.27%,409,111,+16,0.44622,10.04%,Call,12/13/24
"6,110.00",-0.97%,57.70,58.45,59.20,59.20,-12.90,-17.89%,300,359,-19,0.43603,10.09%,Call,12/13/24
"6,115.00",-1.06%,55.30,56.00,56.70,58.03,-12.37,-17.57%,153,269,+41,0.42426,9.93%,Call,12/13/24
"6,120.00",-1.14%,52.90,53.60,54.30,60.50,unch,unch,0,972,-11,0.41322,9.88%,Call,12/12/24
"6,125.00",-1.22%,50.60,51.25,51.90,51.55,-8.45,-14.08%,"1,150","3,066",-23,0.40259,9.87%,Call,12/13/24
"6,130.00",-1.30%,48.30,49.00,49.70,46.80,-10.50,-18.32%,23,739,-3,0.39109,9.78%,Call,12/13/24
"6,135.00",-1.39%,46.20,46.85,47.50,48.73,-9.87,-16.84%,29,371,unch,0.38011,9.74%,Call,12/13/24
"6,140.00",-1.47%,43.90,44.70,45.50,46.08,-7.92,-14.67%,2,339,-4,0.36903,9.69%,Call,12/13/24
"6,145.00",-1.55%,41.90,42.70,43.50,48.10,unch,unch,0,"1,927",+21,0.35817,9.66%,Call,12/12/24
"6,150.00",-1.63%,39.90,40.70,41.50,41.63,-3.27,-7.28%,291,"8,822",-20,0.34721,9.61%,Call,12/13/24
"6,155.00",-1.72%,38.20,38.95,39.70,37.38,-8.90,-19.23%,5,232,-1,0.33678,9.60%,Call,12/13/24
"6,160.00",-1.80%,36.60,36.95,37.30,37.60,-12.50,-24.95%,82,252,-1,0.32564,9.54%,Call,12/13/24
"6,165.00",-1.88%,34.80,35.25,35.70,35.80,+35.80,unch,35,80,unch,0.31521,9.52%,Call,12/13/24
"6,170.00",-1.97%,33.10,33.55,34.00,34.70,+34.70,unch,7,168,unch,0.30473,9.48%,Call,12/13/24
"6,175.00",-2.05%,31.60,31.95,32.30,33.49,-5.04,-13.08%,553,"2,272",+64,0.29449,9.46%,Call,12/13/24
"6,180.00",-2.13%,30.00,30.35,30.70,31.10,-5.80,-15.72%,84,311,+6,0.28419,9.43%,Call,12/13/24
"6,185.00",-2.21%,28.50,28.85,29.20,30.60,-4.40,-12.57%,174,"2,782",+133,0.27417,9.40%,Call,12/13/24
"6,190.00",-2.30%,27.10,27.45,27.80,28.47,-4.83,-14.50%,38,"1,033",-24,0.26447,9.38%,Call,12/13/24
"6,195.00",-2.38%,25.70,26.05,26.40,27.10,-4.70,-14.78%,45,485,unch,0.25472,9.36%,Call,12/13/24
"6,200.00",-2.46%,24.50,24.80,25.10,26.05,-3.14,-10.76%,"1,506","21,175",-54,0.24554,9.35%,Call,12/13/24
"6,205.00",-2.54%,22.70,23.40,24.10,24.70,+1.79,+7.81%,6,38,unch,0.23568,9.31%,Call,12/13/24
"6,210.00",-2.63%,21.90,22.30,22.70,23.30,-4.55,-16.34%,7,647,-1,0.22708,9.31%,Call,12/13/24
"6,215.00",-2.71%,20.80,21.15,21.50,22.10,-8.43,-27.61%,1,70,+14,0.21824,9.29%,Call,12/13/24
"6,220.00",-2.79%,19.80,20.05,20.30,21.10,+21.10,unch,8,"1,374",unch,0.20961,9.28%,Call,12/13/24
"6,225.00",-2.87%,18.70,19.00,19.30,20.00,-2.80,-12.28%,565,"6,297",+422,0.20120,9.27%,Call,12/13/24
"6,230.00",-2.96%,17.60,17.95,18.30,18.90,-4.00,-17.47%,16,428,+2,0.19277,9.25%,Call,12/13/24
"6,235.00",-3.04%,16.70,17.00,17.30,17.80,+17.80,unch,11,76,unch,0.18482,9.24%,Call,12/13/24
"6,240.00",-3.12%,15.80,16.10,16.40,16.60,-6.89,-29.33%,15,"1,356",unch,0.17714,9.23%,Call,12/13/24
"6,245.00",-3.20%,14.80,15.20,15.60,15.90,-2.90,-15.43%,11,115,-3,0.16943,9.21%,Call,12/13/24
